id,repdem,libcon
766,Democrat (Weakly Democratic),Liberal
767,Democrat (Weakly Democratic),Liberal
768,Republican (Strongly Republican),Conservative
769,Democrat (Weakly Democratic),Liberal
770,Democrat (Weakly Democratic),Liberal
771,Independent,Slightly conservative
772,Independent,Moderate
773,Republican (Weakly Republican),Extremely conservative
774,Democrat (Strongly Democratic),Extremely liberal
775,Independent,Liberal
776,Independent,Moderate
777,Democrat (Weakly Democratic),Slightly conservative
778,Independent (Lean toward the Republican Party),Conservative
779,Independent,Slightly conservative
780,Democrat (Weakly Democratic),Slightly liberal
781,Republican (Strongly Republican),Extremely conservative
784,Independent (Lean toward the Republican Party),Slightly conservative
786,Democrat (Strongly Democratic),Extremely liberal
787,Democrat (Weakly Democratic),Slightly liberal
788,Democrat (Strongly Democratic),Extremely liberal
789,Independent (Lean toward the Democratic Party),Liberal
790,Democrat (Strongly Democratic),Liberal
791,Democrat (Strongly Democratic),Extremely liberal
792,Republican (Weakly Republican),Moderate
794,Independent,Moderate
797,Democrat (Strongly Democratic),Liberal
798,Democrat (Weakly Democratic),Slightly liberal
799,Republican (Weakly Republican),Slightly conservative
800,Democrat (Weakly Democratic),Liberal
801,Independent,Moderate
802,Independent,Liberal
805,Democrat (Weakly Democratic),Liberal
807,Democrat (Weakly Democratic),Liberal
809,Independent (Lean toward the Republican Party),Conservative
810,Independent,Extremely liberal
811,Independent,Moderate
812,Democrat (Strongly Democratic),Extremely liberal
813,Democrat (Weakly Democratic),Extremely liberal
814,Democrat (Weakly Democratic),Liberal
815,Democrat (Strongly Democratic),Moderate
816,Republican (Weakly Republican),Moderate
817,Independent,Moderate
818,Democrat (Strongly Democratic),Liberal
819,Democrat (Weakly Democratic),Moderate
821,Democrat (Strongly Democratic),Extremely liberal
823,Democrat (Weakly Democratic),Slightly liberal
824,Independent (Lean toward the Republican Party),Slightly conservative
825,Democrat (Strongly Democratic),Liberal
826,Independent (Lean toward the Republican Party),Conservative
827,Republican (Strongly Republican),Extremely conservative
828,Republican (Weakly Republican),Slightly conservative
829,Democrat (Strongly Democratic),Extremely liberal
831,Republican (Weakly Republican),Slightly conservative
832,Independent,Moderate
833,Democrat (Strongly Democratic),Extremely liberal
834,Independent (Lean toward the Republican Party),Moderate
835,Independent (Lean toward the Republican Party),Slightly conservative
838,Independent (Lean toward the Democratic Party),Slightly liberal
839,Independent (Lean toward the Democratic Party),Slightly liberal
840,Democrat (Strongly Democratic),Liberal
841,Democrat (Weakly Democratic),Liberal
842,Democrat (Strongly Democratic),Liberal
843,Democrat (Strongly Democratic),Liberal
844,Democrat (Weakly Democratic),Slightly liberal
845,Democrat (Strongly Democratic),Extremely liberal
846,Democrat (Weakly Democratic),Moderate
847,Democrat (Weakly Democratic),Liberal
848,Independent (Lean toward the Republican Party),Slightly conservative
849,Democrat (Strongly Democratic),Moderate
850,Independent (Lean toward the Democratic Party),Slightly liberal
851,Independent,Slightly conservative
852,Independent (Lean toward the Republican Party),Slightly liberal
853,Republican (Weakly Republican),Conservative
854,Republican (Strongly Republican),Extremely conservative
855,Democrat (Strongly Democratic),Extremely liberal
856,Independent (Lean toward the Democratic Party),Liberal
857,Republican (Weakly Republican),Conservative
858,Republican (Strongly Republican),Moderate
859,Independent (Lean toward the Democratic Party),Slightly liberal
860,Independent (Lean toward the Democratic Party),Liberal
861,Independent,Moderate
862,Republican (Weakly Republican),Moderate
863,Independent (Lean toward the Democratic Party),Liberal
865,Independent,Moderate
866,Independent (Lean toward the Democratic Party),Moderate
867,Independent (Lean toward the Republican Party),Slightly liberal
868,Independent (Lean toward the Republican Party),Conservative
869,Republican (Weakly Republican),Slightly conservative
870,Independent (Lean toward the Republican Party),Slightly conservative
871,Independent (Lean toward the Democratic Party),Moderate
872,Democrat (Weakly Democratic),Moderate
873,Independent (Lean toward the Republican Party),Conservative
875,Independent,Moderate
876,Independent (Lean toward the Republican Party),Conservative
877,Democrat (Strongly Democratic),Liberal
878,Independent,Moderate
879,Republican (Weakly Republican),Moderate
880,Democrat (Strongly Democratic),Extremely liberal
881,Democrat (Strongly Democratic),Liberal
882,Independent (Lean toward the Democratic Party),Slightly liberal
883,Independent (Lean toward the Republican Party),Conservative
886,Independent,Conservative
887,Independent,Moderate
888,Independent,Moderate
889,Independent (Lean toward the Democratic Party),Liberal
890,Republican (Strongly Republican),Moderate
891,Independent (Lean toward the Democratic Party),Moderate
892,Independent (Lean toward the Democratic Party),Liberal
893,Democrat (Strongly Democratic),Extremely liberal
894,Democrat (Strongly Democratic),Slightly conservative
895,Democrat (Weakly Democratic),Slightly liberal
896,Democrat (Strongly Democratic),Liberal
898,Democrat (Strongly Democratic),Liberal
899,Independent (Lean toward the Democratic Party),Slightly liberal
900,Democrat (Weakly Democratic),Liberal
901,Independent,Moderate
902,Republican (Strongly Republican),Extremely conservative
903,Republican (Weakly Republican),Slightly conservative
904,Democrat (Strongly Democratic),Liberal
906,Independent (Lean toward the Democratic Party),Extremely liberal
908,Independent,Conservative
909,Democrat (Weakly Democratic),Slightly liberal
911,Independent (Lean toward the Democratic Party),Slightly liberal
912,Democrat (Strongly Democratic),Liberal
913,Democrat (Strongly Democratic),Liberal
914,Democrat (Strongly Democratic),Liberal
915,Independent,Moderate
916,Democrat (Strongly Democratic),Liberal
917,Republican (Weakly Republican),Conservative
919,Democrat (Weakly Democratic),Moderate
920,Democrat (Weakly Democratic),Moderate
921,Democrat (Strongly Democratic),Extremely liberal
922,Independent (Lean toward the Republican Party),Moderate
925,Independent (Lean toward the Democratic Party),Liberal
926,Independent (Lean toward the Democratic Party),Liberal
927,Republican (Weakly Republican),Slightly conservative
928,Independent (Lean toward the Democratic Party),Moderate
929,Independent,Slightly liberal
930,Republican (Strongly Republican),Moderate
931,Independent (Lean toward the Democratic Party),Liberal
932,Independent,Moderate
934,Democrat (Strongly Democratic),Extremely liberal
935,Republican (Strongly Republican),Extremely conservative
936,Independent (Lean toward the Democratic Party),Moderate
937,Democrat (Strongly Democratic),Liberal
938,Republican (Strongly Republican),Conservative
939,Democrat (Weakly Democratic),Moderate
940,Republican (Strongly Republican),Extremely conservative
941,Democrat (Weakly Democratic),Moderate
942,Independent (Lean toward the Democratic Party),Slightly liberal
943,Democrat (Strongly Democratic),Liberal
944,Democrat (Strongly Democratic),Extremely liberal
945,Independent (Lean toward the Republican Party),Conservative
946,Independent (Lean toward the Democratic Party),Moderate
947,Democrat (Strongly Democratic),Extremely liberal
948,Independent (Lean toward the Democratic Party),Moderate
950,Democrat (Strongly Democratic),Liberal
951,Independent (Lean toward the Democratic Party),Liberal
953,Democrat (Strongly Democratic),Extremely liberal
954,Independent (Lean toward the Democratic Party),Liberal
955,Independent,Liberal
956,Independent (Lean toward the Democratic Party),Moderate
957,Republican (Weakly Republican),Conservative
958,Democrat (Strongly Democratic),Extremely liberal
959,Democrat (Strongly Democratic),Liberal
960,Democrat (Weakly Democratic),Slightly liberal
961,Democrat (Weakly Democratic),Slightly liberal
962,Independent,Moderate
963,Republican (Weakly Republican),Slightly conservative
964,Democrat (Strongly Democratic),Liberal
965,Democrat (Strongly Democratic),Extremely liberal
966,Independent (Lean toward the Democratic Party),Liberal
967,Independent (Lean toward the Democratic Party),Liberal
968,Democrat (Strongly Democratic),Liberal
970,Independent (Lean toward the Democratic Party),Moderate
971,Independent,Liberal
972,Democrat (Strongly Democratic),Extremely liberal
974,Democrat (Strongly Democratic),Liberal
975,Independent (Lean toward the Republican Party),Liberal
976,Independent,Moderate
977,Democrat (Strongly Democratic),Extremely liberal
978,Independent (Lean toward the Republican Party),Conservative
979,Democrat (Weakly Democratic),Moderate
980,Democrat (Strongly Democratic),Liberal
981,Independent (Lean toward the Republican Party),Moderate
982,Independent (Lean toward the Democratic Party),Slightly conservative
983,Independent,Slightly liberal
984,Democrat (Strongly Democratic),Moderate
985,Independent (Lean toward the Democratic Party),Liberal
986,Independent (Lean toward the Democratic Party),Moderate
988,Democrat (Strongly Democratic),Extremely liberal
989,Republican (Strongly Republican),Moderate
990,Independent (Lean toward the Democratic Party),Liberal
991,Independent,Moderate
992,Independent,Slightly conservative
993,Democrat (Weakly Democratic),Extremely liberal
995,Republican (Weakly Republican),Slightly conservative
996,Republican (Weakly Republican),Conservative
997,Independent,Slightly liberal
998,Democrat (Strongly Democratic),Liberal
999,Independent (Lean toward the Republican Party),Slightly conservative
1000,Democrat (Strongly Democratic),Liberal
1001,Republican (Weakly Republican),Moderate
1002,Democrat (Strongly Democratic),Slightly liberal
1003,Independent (Lean toward the Democratic Party),Moderate
1004,Independent,Slightly liberal
1005,Independent,Slightly liberal
1006,Democrat (Strongly Democratic),Liberal
1007,Republican (Strongly Republican),Conservative
1009,Independent,Moderate
1010,Democrat (Weakly Democratic),Slightly liberal
1011,Democrat (Weakly Democratic),Liberal
1012,Democrat (Strongly Democratic),Liberal
1013,Democrat (Strongly Democratic),Extremely liberal
1014,Independent (Lean toward the Democratic Party),Liberal
1015,Democrat (Strongly Democratic),Extremely liberal
1016,Democrat (Weakly Democratic),Slightly liberal
1017,Independent,Moderate
1018,Democrat (Weakly Democratic),Extremely liberal
1019,Democrat (Weakly Democratic),Liberal
1020,Democrat (Strongly Democratic),Extremely liberal
1021,Independent,Slightly conservative
1022,Republican (Weakly Republican),Slightly liberal
1023,Independent,Extremely liberal
1025,Democrat (Strongly Democratic),Liberal
1026,Democrat (Strongly Democratic),Extremely liberal
1027,Independent (Lean toward the Democratic Party),Moderate
1028,Democrat (Strongly Democratic),Liberal
1029,Independent (Lean toward the Democratic Party),Moderate
1030,Independent (Lean toward the Democratic Party),Liberal
1032,Democrat (Strongly Democratic),Liberal
1033,Democrat (Strongly Democratic),Slightly liberal
1034,Democrat (Strongly Democratic),Extremely liberal
1035,Independent (Lean toward the Democratic Party),Slightly liberal
1036,Democrat (Strongly Democratic),Liberal
1037,Independent (Lean toward the Democratic Party),Slightly liberal
1038,Independent (Lean toward the Republican Party),Moderate
1039,Republican (Weakly Republican),Slightly conservative
1040,Independent,Slightly liberal
1041,Republican (Weakly Republican),Slightly conservative
1042,Independent,Liberal
1043,Independent (Lean toward the Democratic Party),Slightly liberal
1044,Democrat (Weakly Democratic),Slightly liberal
1045,Independent (Lean toward the Democratic Party),Slightly liberal
1046,Independent,Liberal
1047,Independent,Liberal
1048,Independent (Lean toward the Democratic Party),Liberal
1049,Independent (Lean toward the Democratic Party),Slightly liberal
1050,Independent (Lean toward the Democratic Party),Slightly liberal
1051,Independent (Lean toward the Republican Party),Moderate
1052,Independent (Lean toward the Democratic Party),Slightly liberal
1053,Republican (Weakly Republican),Slightly conservative
1054,Independent (Lean toward the Democratic Party),Slightly liberal
